Shipment_ID,Order_Date,Delivery_Date,Origin_Hub,Destination_City,Distance_KM,Weight_KG,Service_Type,Freight_Charge_INR,Delivery_Status,Customer_Rating
EKT100089,2025-09-09,2025-09-10,HYD-Hub (Hyderabad),Delhi,1871.04,2.39,Express,2498.27,Delivered,4
EKT100090,2025-07-07,2025-07-10,BLR-Hub (Bangalore),Mumbai,2109.13,0.2,Standard,2594.56,Delivered,5
EKT100091,2025-02-10,2025-02-12,HYD-Hub (Hyderabad),Pune,1875.58,0.2,Express,2464.3,Delivered,4
EKT100092,2025-06-06,2025-06-08,DEL-Hub (Delhi),Mumbai,1812.01,1.36,Standard,2258.89,Delivered,5
EKT100093,2025-01-15,2025-01-19,HYD-Hub (Hyderabad),Kolkata,1048.51,0.52,Standard,1327.57,Delayed,1
EKT100094,2025-10-28,2025-10-31,HYD-Hub (Hyderabad),Patna,490.11,3.56,Express,862.21,Delivered,4
EKT100095,2025-03-06,2025-03-11,CCU-Hub (Kolkata),Jaipur,2006.24,2.76,Standard,2517.17,Delivered,4
EKT100096,2025-12-11,2025-12-14,DEL-Hub (Delhi),Kolkata,1597.93,0.99,Standard,1995.34,Delivered,5
EKT100097,2025-11-23,2025-11-27,BOM-Hub (Mumbai),Surat,641.39,0.2,Express,983.27,Delivered,4
EKT100098,2025-01-09,2025-01-14,DEL-Hub (Delhi),Bangalore,769.96,0.5,Standard,992.95,Delivered,4
EKT100099,2025-12-10,2025-12-15,DEL-Hub (Delhi),Patna,1518.79,2.94,Express,2085.47,Delayed,1
EKT100100,2025-05-09,2025-05-11,BOM-Hub (Mumbai),Indore,1066.86,11.55,Standard,1548.13,Delivered,5
EKT100101,2025-05-16,2025-05-19,CCU-Hub (Kolkata),Hyderabad,206.82,0.99,Express,476.0,Delivered,3
EKT100102,2025-03-04,2025-03-09,PNQ-Hub (Pune),Pune,336.94,4.05,Standard,537.23,Delivered,4
EKT100103,2025-05-19,2025-05-23,AMD-Hub (Ahmedabad),Lucknow,1648.06,5.05,Standard,2128.57,Delivered,5
EKT100104,2025-03-22,2025-03-24,HYD-Hub (Hyderabad),Bhopal,743.0,0.2,Standard,955.2,Delivered,5
EKT100105,2025-06-12,2025-06-17,DEL-Hub (Delhi),Patna,1131.6,6.2,Express,1679.52,Delivered,3
EKT100106,2025-10-16,2025-10-19,DEL-Hub (Delhi),Lucknow,1693.57,1.57,Standard,2120.54,Delivered,4
EKT100107,2025-09-18,2025-09-20,PNQ-Hub (Pune),Patna,1660.05,8.33,Standard,2202.0,Delivered,3
EKT100108,2025-08-19,2025-08-22,BOM-Hub (Mumbai),Ahmedabad,392.42,1.93,Standard,565.64,Delivered,5
EKT100109,2025-02-10,2025-02-13,MAA-Hub (Chennai),Bangalore,243.51,0.67,Standard,364.27,Delivered,4
EKT100110,2025-01-28,2025-01-31,PNQ-Hub (Pune),Patna,1312.8,9.19,Same-Day,2100.78,Delivered,3
EKT100111,2025-05-15,2025-05-17,DEL-Hub (Delhi),Chennai,1639.34,0.7,Standard,2039.81,Delivered,5
EKT100112,2025-07-20,2025-07-25,BLR-Hub (Bangalore),Lucknow,353.42,5.35,Standard,580.4,Delivered,5
EKT100113,2025-11-24,2025-11-25,HYD-Hub (Hyderabad),Chennai,837.14,0.48,Standard,1073.21,Delivered,4
EKT100114,2025-09-25,2025-09-30,HYD-Hub (Hyderabad),Mumbai,1918.5,2.81,Express,2562.78,RTO (Return to Origin),3
EKT100115,2025-02-02,2025-02-04,PNQ-Hub (Pune),Pune,2078.96,1.32,Express,2728.51,Delivered,5
EKT100116,2025-02-17,2025-02-18,CCU-Hub (Kolkata),Surat,1015.33,8.94,Standard,1439.32,RTO (Return to Origin),2
EKT100117,2025-03-03,2025-03-04,PNQ-Hub (Pune),Chennai,202.55,0.51,Standard,312.24,Delivered,5
EKT100118,2025-08-04,2025-08-05,DEL-Hub (Delhi),Chennai,589.2,1.31,Standard,790.62,Delayed,1
EKT100119,2025-10-20,2025-10-24,BOM-Hub (Mumbai),Indore,535.54,2.55,Standard,748.55,Delivered,4
EKT100120,2025-04-09,2025-04-11,BLR-Hub (Bangalore),Surat,548.55,9.5,Express,1039.26,Cancelled,2
EKT100121,2025-06-21,2025-06-25,PNQ-Hub (Pune),Ahmedabad,1101.72,0.91,Standard,1398.44,Delivered,5
EKT100122,2025-12-26,2025-12-27,BOM-Hub (Mumbai),Hyderabad,1295.6,1.26,Express,1787.4,Delivered,5
EKT100123,2025-08-02,2025-08-06,PNQ-Hub (Pune),Hyderabad,295.85,1.55,Standard,442.92,Delivered,5
EKT100124,2025-02-04,2025-02-08,DEL-Hub (Delhi),Patna,1959.9,0.73,Standard,2425.02,Delivered,3
EKT100125,2025-08-15,2025-08-17,BLR-Hub (Bangalore),Jaipur,1375.34,4.25,Standard,1786.91,Delivered,5
EKT100126,2025-04-11,2025-04-14,CCU-Hub (Kolkata),Chennai,1326.04,0.24,Standard,1655.57,Delivered,4
EKT100127,2025-05-11,2025-05-15,CCU-Hub (Kolkata),Jaipur,2172.4,3.05,Standard,2721.78,Delivered,5
EKT100128,2025-09-14,2025-09-18,PNQ-Hub (Pune),Delhi,1393.07,1.91,Standard,1766.06,Delivered,5
EKT100129,2025-01-05,2025-01-06,AMD-Hub (Ahmedabad),Patna,2045.84,0.69,Same-Day,2827.43,Delivered,5
EKT100130,2025-08-06,2025-08-07,CCU-Hub (Kolkata),Jaipur,651.18,1.7,Same-Day,1172.02,Delivered,4
EKT100131,2025-09-12,2025-09-13,AMD-Hub (Ahmedabad),Delhi,551.08,4.43,Standard,801.04,Delivered,4
EKT100132,2025-12-25,2025-12-30,AMD-Hub (Ahmedabad),Pune,1150.85,1.47,Standard,1467.48,Delivered,4
EKT100133,2025-10-10,2025-10-14,MAA-Hub (Chennai),Hyderabad,1133.68,0.32,Express,1576.18,Delivered,4
EKT100134,2025-07-26,2025-07-27,BOM-Hub (Mumbai),Pune,521.47,0.2,Express,839.36,Delivered,4
EKT100135,2025-01-15,2025-01-17,DEL-Hub (Delhi),Jaipur,1548.25,3.76,Standard,1985.58,Delivered,5
EKT100136,2025-12-12,2025-12-17,BLR-Hub (Bangalore),Lucknow,94.31,1.0,Express,341.17,Delivered,5
EKT100137,2025-02-11,2025-02-14,PNQ-Hub (Pune),Chennai,1528.67,6.69,Standard,2014.82,Delivered,5
EKT100138,2025-06-28,2025-07-02,PNQ-Hub (Pune),Surat,1022.08,2.4,Standard,1329.7,Delivered,5
EKT100139,2025-03-04,2025-03-08,HYD-Hub (Hyderabad),Jaipur,1525.15,1.43,Standard,1915.92,RTO (Return to Origin),1
EKT100140,2025-12-18,2025-12-20,HYD-Hub (Hyderabad),Bangalore,1065.26,2.08,Express,1525.75,Delivered,3
EKT100141,2025-08-19,2025-08-22,BOM-Hub (Mumbai),Lucknow,2150.81,1.53,Standard,2668.51,Delivered,4
EKT100142,2025-08-29,2025-09-01,DEL-Hub (Delhi),Patna,756.27,5.91,Standard,1073.9,Delivered,5
EKT100143,2025-02-21,2025-02-26,MAA-Hub (Chennai),Patna,2162.18,1.53,Express,2832.16,Delivered,4
EKT100144,2025-04-06,2025-04-10,DEL-Hub (Delhi),Jaipur,170.99,0.27,Express,420.05,Delivered,4
EKT100145,2025-08-10,2025-08-11,BOM-Hub (Mumbai),Indore,1513.76,2.27,Standard,1917.37,Delivered,5
EKT100146,2025-08-19,2025-08-21,DEL-Hub (Delhi),Delhi,1015.66,2.44,Standard,1322.71,RTO (Return to Origin),1
EKT100147,2025-08-25,2025-08-27,HYD-Hub (Hyderabad),Bhopal,1814.04,3.62,Express,2452.01,Delivered,5
EKT100148,2025-05-23,2025-05-25,HYD-Hub (Hyderabad),Kolkata,1743.47,6.77,Standard,2274.02,Delivered,4
EKT100149,2025-06-20,2025-06-22,BLR-Hub (Bangalore),Lucknow,1766.46,1.46,Standard,2206.03,Delivered,5
EKT100150,2025-01-29,2025-01-30,MAA-Hub (Chennai),Kolkata,235.58,1.08,Standard,362.14,Delivered,5
EKT100151,2025-02-05,2025-02-06,HYD-Hub (Hyderabad),Delhi,1814.53,1.69,Same-Day,2567.86,Delivered,4
EKT100152,2025-01-13,2025-01-18,BLR-Hub (Bangalore),Delhi,494.47,5.76,Express,907.04,Delivered,5
EKT100153,2025-06-09,2025-06-13,MAA-Hub (Chennai),Bangalore,85.73,9.78,Standard,338.92,Delivered,5
EKT100154,2025-11-23,2025-11-24,HYD-Hub (Hyderabad),Jaipur,502.49,8.87,Standard,822.65,Delivered,5
EKT100155,2025-07-06,2025-07-11,MAA-Hub (Chennai),Pune,1070.05,0.65,Express,1505.76,Delivered,5
EKT100156,2025-08-31,2025-09-03,AMD-Hub (Ahmedabad),Hyderabad,1640.38,1.72,Standard,2059.42,Delivered,4
EKT100157,2025-03-27,2025-03-31,DEL-Hub (Delhi),Jaipur,504.43,0.75,Standard,678.82,Delivered,4
EKT100158,2025-10-11,2025-10-12,BLR-Hub (Bangalore),Chennai,275.23,1.15,Standard,410.98,Delivered,5
EKT100159,2025-03-07,2025-03-10,MAA-Hub (Chennai),Chennai,1431.75,0.2,Express,1931.7,Delayed,1
EKT100160,2025-06-19,2025-06-24,PNQ-Hub (Pune),Bangalore,2165.06,0.44,Standard,2665.99,Delivered,5
EKT100161,2025-02-14,2025-02-15,MAA-Hub (Chennai),Kolkata,1333.89,1.26,Standard,1683.35,Delivered,4
EKT100162,2025-03-03,2025-03-04,DEL-Hub (Delhi),Kolkata,1529.59,1.13,Standard,1915.85,Delivered,4
EKT100163,2025-05-14,2025-05-17,HYD-Hub (Hyderabad),Surat,1247.73,0.82,Standard,1572.04,Delivered,5
EKT100164,2025-10-11,2025-10-12,HYD-Hub (Hyderabad),Bhopal,1727.7,0.65,Standard,2144.94,Delivered,5
EKT100165,2025-01-28,2025-01-30,PNQ-Hub (Pune),Lucknow,2147.5,3.46,Standard,2699.28,Delivered,3
EKT100166,2025-04-18,2025-04-19,BOM-Hub (Mumbai),Pune,1210.76,0.87,Standard,1528.57,Cancelled,2
EKT100167,2025-02-13,2025-02-17,BOM-Hub (Mumbai),Pune,934.44,3.07,Standard,1236.59,RTO (Return to Origin),3
EKT100168,2025-12-06,2025-12-09,HYD-Hub (Hyderabad),Hyderabad,1896.94,1.15,Standard,2357.03,Delivered,5
EKT100169,2025-10-13,2025-10-17,AMD-Hub (Ahmedabad),Chennai,2134.31,4.05,Standard,2694.07,Delivered,4
EKT100170,2025-11-27,2025-12-02,PNQ-Hub (Pune),Pune,310.32,0.46,Standard,440.66,Delivered,4
EKT100171,2025-05-08,2025-05-12,CCU-Hub (Kolkata),Bhopal,1284.63,0.43,Standard,1609.3,Delayed,2
EKT100172,2025-12-14,2025-12-16,CCU-Hub (Kolkata),Mumbai,1749.64,2.85,Express,2360.87,Delivered,5
EKT100173,2025-08-19,2025-08-21,PNQ-Hub (Pune),Indore,1187.35,6.16,Express,1745.7,Delivered,4
EKT100174,2025-07-09,2025-07-13,MAA-Hub (Chennai),Surat,917.96,0.39,Standard,1168.57,Delivered,5
EKT100175,2025-08-13,2025-08-18,HYD-Hub (Hyderabad),Jaipur,1451.85,0.2,Standard,1805.82,Delivered,3
EKT100176,2025-10-10,2025-10-11,BOM-Hub (Mumbai),Pune,616.18,6.82,Standard,922.18,Delivered,5
EKT100177,2025-05-01,2025-05-03,MAA-Hub (Chennai),Mumbai,787.62,0.31,Standard,1010.72,Delivered,5
EKT100178,2025-04-26,2025-04-30,BLR-Hub (Bangalore),Lucknow,2183.24,0.72,Standard,2692.85,Delivered,4
EKT100179,2025-08-21,2025-08-25,PNQ-Hub (Pune),Mumbai,1411.13,6.63,Standard,1872.7,Delivered,5
EKT100180,2025-09-16,2025-09-20,PNQ-Hub (Pune),Indore,1924.25,4.06,Standard,2442.18,Delivered,4
EKT100181,2025-12-25,2025-12-26,AMD-Hub (Ahmedabad),Hyderabad,1782.86,1.05,Express,2368.33,Delivered,5
EKT100182,2025-07-17,2025-07-20,BOM-Hub (Mumbai),Patna,1445.43,7.73,Express,2083.66,Delivered,4
EKT100183,2025-05-17,2025-05-22,BOM-Hub (Mumbai),Pune,1854.38,2.1,Express,2473.06,Delayed,1
EKT100184,2025-11-14,2025-11-17,BOM-Hub (Mumbai),Jaipur,653.13,0.2,Express,997.36,Delayed,3
EKT100185,2025-06-14,2025-06-19,PNQ-Hub (Pune),Chennai,1412.54,3.04,Standard,1809.77,Delivered,4
EKT100186,2025-08-13,2025-08-18,CCU-Hub (Kolkata),Ahmedabad,1311.61,1.93,Express,1818.67,Delivered,4
EKT100187,2025-11-03,2025-11-07,DEL-Hub (Delhi),Bhopal,1380.65,2.13,Standard,1755.12,Delivered,3
EKT100188,2025-08-22,2025-08-24,AMD-Hub (Ahmedabad),Lucknow,395.93,12.83,Standard,766.06,Delivered,5
EKT100189,2025-06-21,2025-06-25,DEL-Hub (Delhi),Indore,631.62,0.41,Standard,825.32,Delivered,5
EKT100190,2025-06-01,2025-06-02,AMD-Hub (Ahmedabad),Mumbai,652.05,2.67,Standard,890.52,Delivered,5
EKT100191,2025-11-11,2025-11-16,PNQ-Hub (Pune),Hyderabad,1336.22,1.53,Standard,1691.0,Delivered,5
EKT100192,2025-06-09,2025-06-11,CCU-Hub (Kolkata),Chennai,2140.43,0.79,Standard,2642.74,Delivered,5
EKT100193,2025-04-06,2025-04-11,AMD-Hub (Ahmedabad),Ahmedabad,2100.33,2.96,Same-Day,2933.68,Delivered,4
EKT100194,2025-08-21,2025-08-26,HYD-Hub (Hyderabad),Jaipur,523.0,2.76,Express,887.28,RTO (Return to Origin),1
EKT100195,2025-06-29,2025-07-03,HYD-Hub (Hyderabad),Mumbai,691.51,4.85,Same-Day,1277.11,Delivered,3
EKT100196,2025-04-23,2025-04-25,PNQ-Hub (Pune),Pune,108.25,5.28,Express,434.94,Delivered,4
EKT100197,2025-11-14,2025-11-16,PNQ-Hub (Pune),Pune,895.43,2.06,Same-Day,1471.6,Delivered,5
EKT100198,2025-02-21,2025-02-26,CCU-Hub (Kolkata),Ahmedabad,1841.24,0.98,Standard,2287.13,Delivered,4
EKT100199,2025-09-25,2025-09-27,CCU-Hub (Kolkata),Indore,2017.18,1.89,Standard,2514.64,Delivered,4
EKT100200,2025-10-22,2025-10-24,HYD-Hub (Hyderabad),Kolkata,543.2,1.11,Standard,731.82,Delivered,5
EKT100201,2025-04-23,2025-04-27,DEL-Hub (Delhi),Patna,606.77,0.81,Standard,802.7,Delivered,5
EKT100202,2025-04-11,2025-04-14,MAA-Hub (Chennai),Indore,509.24,2.01,Express,857.27,Delivered,4
EKT100203,2025-04-23,2025-04-24,CCU-Hub (Kolkata),Bangalore,789.72,2.68,Standard,1055.9,Delivered,5
EKT100204,2025-03-22,2025-03-25,MAA-Hub (Chennai),Delhi,1776.33,2.23,Standard,2231.74,Delivered,5
EKT100205,2025-07-06,2025-07-08,MAA-Hub (Chennai),Chennai,1433.68,7.72,Standard,1919.38,RTO (Return to Origin),1
EKT100206,2025-04-23,2025-04-28,BLR-Hub (Bangalore),Bangalore,1735.49,0.89,Standard,2158.61,Delivered,5
EKT100207,2025-01-02,2025-01-03,DEL-Hub (Delhi),Mumbai,1295.18,1.16,Express,1785.1,RTO (Return to Origin),1
EKT100208,2025-05-10,2025-05-11,AMD-Hub (Ahmedabad),Hyderabad,589.28,2.75,Standard,816.64,Delivered,5
EKT100209,2025-08-08,2025-08-13,PNQ-Hub (Pune),Pune,524.75,2.29,Express,880.92,Delivered,4
EKT100210,2025-02-23,2025-02-24,MAA-Hub (Chennai),Lucknow,49.53,0.2,Express,273.04,Delivered,5
EKT100211,2025-12-09,2025-12-14,PNQ-Hub (Pune),Pune,1724.73,0.94,Standard,2146.6,RTO (Return to Origin),1
EKT100212,2025-08-12,2025-08-13,PNQ-Hub (Pune),Surat,1868.25,0.73,Same-Day,2615.04,Delivered,5
EKT100213,2025-08-13,2025-08-16,DEL-Hub (Delhi),Ahmedabad,1697.17,4.58,Same-Day,2479.04,Cancelled,1
EKT100214,2025-05-06,2025-05-07,DEL-Hub (Delhi),Indore,191.45,5.03,Standard,380.28,Delivered,4
EKT100215,2025-05-10,2025-05-14,BLR-Hub (Bangalore),Bhopal,1684.02,0.83,Express,2245.76,Delivered,5
EKT100216,2025-02-22,2025-02-27,AMD-Hub (Ahmedabad),Mumbai,129.32,0.27,Standard,220.04,Delivered,4
